scenario,model,accuracy,precision,recall,f1_score
Direct Modeling,Logistic Regression,0.754,0.35460251046025104,0.7369565217391304,0.4788135593220339
Direct Modeling,Random Forest,0.8506666666666667,0.53,0.23043478260869565,0.3212121212121212
Direct Modeling,Voting Classifier,0.8583333333333333,0.5396825396825397,0.5173913043478261,0.5283018867924528
Preprocessing,Logistic Regression,0.7443333333333333,0.3435270132517839,0.7326086956521739,0.4677307425399028
Preprocessing,Random Forest,0.8476666666666667,0.5263157894736842,0.06521739130434782,0.11605415860735009
Preprocessing,Voting Classifier,0.846,0.4976958525345622,0.46956521739130436,0.48322147651006714
Hyperparameter Tuning + Feature Selection,Logistic Regression,0.745,0.3454913880445795,0.741304347826087,0.47131997235659984
Hyperparameter Tuning + Feature Selection,Random Forest,0.8553333333333333,0.5148063781321185,0.9826086956521739,0.6756352765321375
Hyperparameter Tuning + Feature Selection,Voting Classifier,0.849,0.5049928673323824,0.7695652173913043,0.6098191214470284
